17.84,1950.04,1.18,2.43,23.6,2.38,11.18,
13.1,1944.12,0.64,0.93,17.8,2.38,11.64,
28.96,1954.06,1.45,2.62,26.9,2.38,13.36,
31.45,1954.09,1.47,2.63,26.8,2.38,14.36,
12.69,1938.12,0.51,0.64,14,2.38,15.76,
15.45,1947.1,0.81,1.57,23,2.39,11.13,
12.82,1944.11,0.64,0.92,17.7,2.39,11.48,
16.82,1948.06,0.85,1.86,24.1,2.39,11.58,
13.07,1938.11,0.56,0.63,14,2.39,16.15,
16.15,1948.05,0.85,1.81,23.9,2.4,11.24,
18.44,1950.05,1.19,2.48,23.7,2.4,11.46,
12.91,1944.1,0.64,0.91,17.7,2.4,11.58,
15.4,1948.04,0.85,1.76,23.8,2.41,10.78,
15.27,1947.11,0.82,1.59,23.1,2.41,10.98,
12.6,1944.09,0.64,0.9,17.7,2.41,11.33,
13.06,1938.1,0.61,0.63,14,2.41,16.06,
8.76,1941.12,0.71,1.16,15.5,2.42,10.09,
14.3,1948.03,0.85,1.71,23.4,2.42,10.19,
15.03,1947.12,0.84,1.61,23.4,2.42,10.68,
12.81,1944.08,0.64,0.91,17.7,2.42,11.54,
18.74,1950.06,1.2,2.54,23.8,2.42,11.55,
877.56,2008.12,28.39,14.88,210.228,2.42,15.37,
14.1,1948.02,0.85,1.68,23.5,2.43,10,
12.67,1944.06,0.63,0.92,17.6,2.43,11.53,
13,1944.07,0.63,0.91,17.7,2.43,11.74,
11.75,1938.09,0.66,0.62,14.1,2.43,14.28,
32.18,1954.1,1.49,2.68,26.8,2.43,14.62,
14.83,1948.01,0.84,1.64,23.7,2.44,10.42,
12.1,1944.05,0.63,0.92,17.5,2.44,11.1,
12.31,1938.08,0.69,0.67,14.1,2.44,14.9,
17.38,1950.07,1.24,2.6,24.1,2.45,10.54,
11.89,1944.04,0.62,0.93,17.5,2.45,10.94,
7.93,1942.05,0.67,1,16.3,2.46,8.51,
7.84,1942.04,0.68,1.02,16.1,2.46,8.54,
8.33,1942.06,0.66,0.98,16.3,2.46,8.91,
8.18,1942.03,0.69,1.04,16,2.46,9,
8.65,1942.02,0.7,1.08,15.8,2.46,9.68,
8.93,1942.01,0.7,1.12,15.7,2.46,10.1,
12.1,1944.03,0.62,0.93,17.4,2.46,11.22,
12.24,1938.07,0.71,0.72,14.1,2.46,14.77,
8.59,1942.08,0.63,0.95,16.5,2.47,9.01,
8.68,1942.09,0.62,0.94,16.5,2.47,9.08,
8.64,1942.07,0.65,0.97,16.4,2.47,9.15,
9.32,1942.1,0.61,0.97,16.7,2.47,9.6,
9.52,1942.12,0.59,1.03,16.9,2.47,9.62,
9.47,1942.11,0.6,1,16.8,2.47,9.66,
10.09,1943.01,0.59,1.04,16.9,2.47,10.15,
10.69,1943.02,0.59,1.06,16.9,2.47,10.71,
11.07,1943.03,0.59,1.07,17.2,2.47,10.85,
11.77,1944.02,0.62,0.93,17.4,2.47,10.95,
11.44,1943.04,0.59,1.08,17.4,2.47,11.04,
18.43,1950.08,1.29,2.66,24.3,2.47,11.04,
11.89,1943.05,0.59,1.09,17.5,2.47,11.36,
12.1,1943.06,0.59,1.1,17.5,2.47,11.52,
26.02,1954.02,1.46,2.54,26.9,2.47,12.22,
11.33,1943.11,0.61,0.99,17.4,2.48,10.63,
11.48,1943.12,0.61,0.94,17.4,2.48,10.74,
11.85,1944.01,0.61,0.94,17.4,2.48,11.05,
11.88,1943.1,0.6,1.03,17.4,2.48,11.19,
11.74,1943.08,0.6,1.09,17.3,2.48,11.21,
11.99,1943.09,0.6,1.08,17.4,2.48,11.34,
12.35,1943.07,0.59,1.09,17.4,2.48,11.77,
25.46,1954.01,1.46,2.52,26.9,2.48,12,
10.21,1938.06,0.74,0.77,14.1,2.48,12.29,
33.44,1954.11,1.52,2.72,26.8,2.48,15.12,
19.08,1950.09,1.33,2.72,24.4,2.49,11.34,
9.98,1938.05,0.75,0.84,14.1,2.49,11.99,
19.87,1950.1,1.38,2.76,24.6,2.51,11.66,
9.89,1938.04,0.77,0.9,14.2,2.51,11.79,
34.97,1954.12,1.54,2.77,26.7,2.51,15.79,
865.58,2009.01,28.01,12.21,211.143,2.52,15.17,
19.83,1950.11,1.42,2.8,24.7,2.53,11.54,
10.31,1938.03,0.78,0.97,14.1,2.53,12.38,
11.04,1938.02,0.79,1.02,14.1,2.54,13.26,
19.75,1950.12,1.47,2.84,25,2.55,11.31,
11.31,1938.01,0.79,1.08,14.2,2.56,13.51,
21.21,1951.01,1.49,2.84,25.4,2.57,11.9,
11.02,1937.12,0.8,1.13,14.4,2.57,13.01,
22,1951.02,1.5,2.83,25.7,2.58,12.14,
11.2,1937.11,0.79,1.16,14.5,2.58,13.16,
24.83,1953.12,1.45,2.51,26.9,2.59,11.75,
21.63,1951.03,1.52,2.83,25.8,2.59,11.84,
12.28,1937.1,0.78,1.19,14.6,2.59,14.36,
21.92,1951.04,1.53,2.79,25.8,2.6,11.95,
14.37,1937.09,0.77,1.22,14.6,2.6,16.85,
21.93,1951.05,1.55,2.76,25.9,2.61,11.86,
35.6,1955.01,1.55,2.83,26.7,2.61,15.99,
16.74,1937.08,0.79,1.2,14.5,2.61,19.81,
21.55,1951.06,1.56,2.72,25.9,2.62,11.62,
16.57,1937.07,0.82,1.19,14.5,2.62,19.65,
21.93,1951.07,1.55,2.65,25.9,2.63,11.78,
22.89,1951.08,1.53,2.58,25.9,2.63,12.26,
15.64,1937.06,0.84,1.17,14.4,2.63,18.71,
23.48,1951.09,1.52,2.51,26.1,2.64,12.44,
16.25,1937.05,0.81,1.15,14.4,2.64,19.47,
23.36,1951.1,1.48,2.49,26.2,2.65,12.31,
36.79,1955.02,1.55,2.9,26.7,2.65,16.44,
13.76,1936.01,0.48,0.77,13.8,2.65,17.09,
14.55,1936.02,0.49,0.78,13.8,2.65,18.1,
17.01,1937.04,0.78,1.13,14.3,2.65,20.56,
23.97,1953.1,1.43,2.54,27,2.66,11.39,
22.71,1951.11,1.45,2.46,26.4,2.66,11.85,
13.04,1935.12,0.47,0.76,13.8,2.66,16.16,
14.09,1936.05,0.53,0.85,13.7,2.66,17.75,
14.69,1936.06,0.55,0.88,13.8,2.66,18.39,
14.86,1936.03,0.5,0.79,13.7,2.66,18.66,
14.88,1936.04,0.52,0.82,13.7,2.66,18.72,
18.09,1937.03,0.75,1.11,14.2,2.66,22.04,
23.41,1951.12,1.41,2.44,26.5,2.67,12.15,
13.04,1935.11,0.46,0.76,13.8,2.67,16.13,
15.56,1936.07,0.57,0.9,13.9,2.67,19.36,
15.87,1936.08,0.59,0.92,14,2.67,19.62,
16.05,1936.09,0.61,0.94,14,2.67,19.86,
16.89,1936.1,0.65,0.97,14,2.67,20.91,
18.11,1937.02,0.74,1.08,14.1,2.67,22.24,
24.5,1953.11,1.44,2.52,26.9,2.68,11.64,
24.19,1952.01,1.41,2.43,26.5,2.68,12.53,
36.5,1955.03,1.56,2.96,26.7,2.68,16.22,
17.06,1936.12,0.72,1.02,14,2.68,21.13,
17.36,1936.11,0.68,0.99,14,2.68,21.5,
17.59,1937.01,0.73,1.05,14.1,2.68,21.62,
23.75,1952.02,1.42,2.41,26.3,2.69,12.36,
11.92,1935.1,0.45,0.76,13.7,2.69,14.83,
11.61,1935.09,0.44,0.76,13.7,2.7,14.42,
23.81,1952.03,1.42,2.4,26.3,2.71,12.36,
11.37,1935.08,0.44,0.78,13.7,2.71,14.11,
23.74,1952.04,1.43,2.38,26.4,2.72,12.24,
10.65,1935.07,0.44,0.79,13.7,2.72,13.2,
23.73,1952.05,1.44,2.36,26.4,2.73,12.2,
10.12,1935.06,0.44,0.81,13.7,2.73,12.54,
9.75,1935.05,0.44,0.78,13.8,2.74,11.99,
24.38,1952.06,1.45,2.34,26.5,2.74,12.45,
37.76,1955.04,1.56,3.05,26.7,2.75,16.69,
9.04,1935.04,0.45,0.76,13.8,2.76,11.1,
25.08,1952.07,1.45,2.35,26.7,2.76,12.67,
37.6,1955.05,1.57,3.13,26.7,2.76,16.52,
8.41,1935.03,0.45,0.73,13.7,2.77,10.4,
25.18,1952.08,1.45,2.35,26.7,2.77,12.68,
25.99,1953.03,1.41,2.43,26.6,2.77,12.83,
8.98,1935.02,0.45,0.65,13.7,2.78,11.09,
24.78,1952.09,1.45,2.36,26.7,2.78,12.43,
39.78,1955.06,1.57,3.22,26.7,2.78,17.37,
9.26,1935.01,0.45,0.57,13.6,2.79,11.5,
24.26,1952.1,1.44,2.37,26.7,2.79,12.13,
25.86,1953.02,1.41,2.42,26.5,2.8,12.86,
25.03,1952.11,1.42,2.39,26.7,2.81,12.47,
9.26,1934.12,0.45,0.49,13.4,2.82,11.64,
26.04,1952.12,1.41,2.4,26.7,2.82,12.93,
757.13,2009.03,27.25,6.86,212.709,2.82,13.32,
24.71,1953.04,1.41,2.46,26.6,2.83,12.16,
26.18,1953.01,1.41,2.41,26.6,2.83,13.01,
44.43,1956.02,1.7,3.67,26.8,2.84,18.27,
9.2,1934.11,0.45,0.49,13.5,2.85,11.45,
8.95,1934.1,0.45,0.48,13.5,2.87,11.11,
23.27,1953.09,1.42,2.55,26.9,2.87,11.14,
805.23,2009.02,27.63,9.53,212.193,2.87,14.12,
42.34,1958.04,1.76,3.07,28.9,2.88,13.91,
42.11,1955.1,1.63,3.5,26.9,2.88,17.77,
44.95,1955.11,1.63,3.56,26.9,2.89,18.84,
8.88,1934.09,0.45,0.48,13.6,2.9,10.91,
44.15,1956.01,1.67,3.64,26.8,2.9,18.29,
42.69,1955.07,1.59,3.29,26.8,2.9,18.45,
43.7,1958.05,1.74,3,28.9,2.92,14.32,
9.1,1934.08,0.45,0.47,13.4,2.93,11.32,
24.29,1953.07,1.42,2.52,26.8,2.93,11.75,
848.15,2009.04,26.7,,213.24,2.93,14.98,
24.39,1953.08,1.42,2.54,26.9,2.95,11.72,
9.47,1934.07,0.45,0.47,13.4,2.96,11.74,
45.37,1955.12,1.64,3.62,26.8,2.96,18.94,
47.49,1956.03,1.73,3.69,26.8,2.96,19.37,
44.75,1958.06,1.73,2.93,28.9,2.97,14.64,
42.43,1955.08,1.6,3.37,26.8,2.97,18.22,
44.34,1955.09,1.62,3.44,26.9,2.97,18.84,
9.94,1934.06,0.45,0.47,13.4,2.98,12.29,
42.11,1958.03,1.77,3.14,28.8,2.98,13.93,
46.27,1956.06,1.8,3.6,27.2,3,18.16,
9.81,1934.05,0.44,0.46,13.3,3.01,12.18,
10.92,1934.04,0.44,0.46,13.3,3.04,13.52,
24.84,1953.05,1.42,2.48,26.7,3.05,12.14,
41.26,1958.02,1.78,3.22,28.6,3.05,13.78,
10.74,1934.03,0.44,0.45,13.3,3.07,13.25,
46.54,1956.05,1.78,3.63,27,3.07,18.54,
41.12,1958.01,1.78,3.29,28.6,3.09,13.79,
11.32,1934.02,0.44,0.45,13.3,3.09,13.93,
6.87,1900.12,0.3,0.48,7.61,3.1,20.74,
7.07,1901.01,0.3,0.48,7.71,3.1,20.98,
6.08,1899.01,0.2,0.36,6.76,3.1,22.93,
6.31,1899.02,0.2,0.37,6.95,3.1,23.05,
23.95,1953.06,1.42,2.51,26.8,3.11,11.62,
6.01,1900.1,0.29,0.48,7.71,3.11,18.1,
48.78,1956.07,1.81,3.55,27.4,3.11,18.86,
6.48,1900.11,0.29,0.48,7.71,3.11,19.42,
7.25,1901.02,0.3,0.48,7.61,3.11,21.68,
7.51,1901.03,0.31,0.49,7.61,3.11,22.35,
6.48,1899.04,0.2,0.39,7.04,3.11,23.15,
6.4,1899.03,0.2,0.38,6.95,3.11,23.28,
10.54,1934.01,0.44,0.44,13.2,3.12,13.03,
5.8,1900.09,0.28,0.48,7.8,3.12,17.34,
5.94,1900.08,0.27,0.48,7.71,3.12,18.07,
6.07,1899.06,0.21,0.42,7.14,3.12,21.21,
5.65,1898.12,0.2,0.35,6.76,3.12,21.4,
6.21,1899.05,0.2,0.4,7.04,3.12,22.09,
8.14,1901.04,0.31,0.49,7.52,3.12,24.41,
5.86,1900.07,0.26,0.48,7.8,3.13,17.69,
5.86,1900.06,0.26,0.48,7.71,3.13,17.99,
6.04,1900.05,0.25,0.48,7.8,3.13,18.4,
6.37,1899.09,0.21,0.45,7.61,3.13,20.59,
6.28,1899.07,0.21,0.43,7.23,3.13,21.56,
6.44,1899.08,0.21,0.44,7.33,3.13,21.73,
7.73,1901.05,0.31,0.49,7.52,3.13,23.06,
8.5,1901.06,0.31,0.49,7.52,3.13,25.24,
9.97,1933.12,0.44,0.44,13.2,3.14,12.28,
6.26,1900.03,0.23,0.48,7.99,3.14,18.78,
6.34,1900.04,0.24,0.48,7.99,3.14,18.94,
